id,question,A,B,C,D,answer,explanation
0,若点A（ $x_1$，-3 ），B（ $x_2$，-2 ），C（ $x_3$，1）在反比例函数 $y=-\dfrac{k^{2}+1}{x}$的图象上，则$x_1$ ，$x_2$ ，$x_3$ 的大小关系是为____,$x_{1}<x_{2}<x_{3}$,$x_{3}<x_{1}<x_{2}$,$x_{2}<x_{1}<x_{3}$,$x_{3}<x_{2}<x_{1}$,B,"1. 首先，对于反比例函数 $y=-\frac{k^{2}+1}{x}$，有$-(k^2+1)<0$。因此，图象分别位于第二、四象限，每一个象限内，从左往右，y随x的增大而增大。
2. 其次我们观察点A、B、C的y坐标，发现A的y坐标为-3，B的y坐标为-2，C的y坐标为1。根据反比例函数的性质，我们可以得出：A，B位于第四象限，且$x_2>x_1>0$；C位于第二象限，则$x_3<0$。
3. 最后，我们将第2步的结论整理：$x_{3}<x_{1}<x_{2}$。"
1,已知点P（-1，4）在反比例函数$y=\frac{k}{x}$ (k≠0)的图象上，则k的值是____,$-\frac{1}{4}$,$\frac{1}{4}$,$4$,$-4$,D,"1. 首先，我们需要知道反比例函数的形式：$y=\frac{k}{x}$，其中k是常数，x和y是变量。
2. 其次，题目给出点P（-1，4）在反比例函数的图象上，代入反比例函数中，得到$4=\frac{k}{-1}$。
3. 接着，得到$k=-4$。"
2,若$x=-2$是关于x 的方程$3x-k+1=0$ 的解，则k的值为____,$-5$,$-1$,$5$,$\frac{1}{3}$,A,"1. 首先，将$x=-2$代入方程$3x-k+1=0$，得到$3(-2)-k+1=0$。
2. 然后，解得$k=-5$。"
3,甲队有工人 272人，乙队有工人 196人，如果要求乙队的人数是甲队人数的$\frac{1}{3}$ ，应从乙队调多少人去甲队？如果设应从乙队调 x人到甲队，列出的方程正确的是____,$\frac{1}{3}\times272+x=196-x$,$\frac{1}{3}\left(272-x\right)=196-x$,$\frac{1}{3}\left(272+x\right)=196-x$,$\frac{1}{3}\left(272+x\right)=196+x$,C,"1. 首先，题目要求乙队的人数是甲队人数的$\frac{1}{3}$，即$\frac{乙队人数}{甲队人数}=\frac{1}{3}$。
2. 其次，我们需要从乙队调$x$人到甲队。调整后，甲队的人数变为$272+x$，乙队的人数变为$196-x$。
3. 接着，我们将调整后的甲队和乙队人数代入第1步中的比例关系，得到$\frac{196-x}{272+x}=\frac{1}{3}$。
4. 最后，我们将这个比例关系转换为方程，即$\frac{1}{3}\left(272+x\right)=196-x$。"
4,"已知关于x的不等式组$\left\{\begin{matrix}x<3a+2,\\ 2x-4>0,\end{matrix}\right.$恰有两个整数解，则a的取值范围为____",$2\leq a\leq3$,$\frac{2}{3}<a\leq1$,$2<a\leq3$,$\frac{2}{3}\leq a<1$,B,"1. 首先，我们需要解第二个不等式$2x-4>0$。将其化简得到$x>2$。
2. 接着，我们将两个不等式组合在一起，得到$x>2$且$x<3a+2$。由题意，这个不等式组恰有两个整数解，因此，$x=3$和$x=4$。
3. 最后，我们需要找到a的取值范围。将这两个$x$取值代入不等式$x<3a+2$，得到$3<3a+2$和$4<3a+2$。解这两个不等式，我们得到$a>\frac{1}{3}$和$a>\frac{2}{3}$，合并两个条件得到$a>\frac{2}{3}$。由于题目要求恰有两个整数解，因此，$x< 5$。所以有$x<3a+2\le 5$，化简后得到$a\leq 1$。因此，a的取值范围为$\frac{2}{3}<a\leq1$。"
0,当$x=-3$ 时，下列分式无意义的是____,$\frac{x-3}{x}$,$\frac{x+3}{x}$,$\frac{x}{x-3}$,$\frac{x}{x+3}$,D,
1,如果 $x=3$是关于 x的$2x+m=7$方程 的解，那么 $m$的值为____,-1,2,1,-2,C,
2,⊙O是一个正n边形的外接圆，若⊙O的半径与这个正n边形的边长相等，则n的值为____,3,4,5,6,D,
3,下列等式变形错误的是 ____,"若$a=b$,则$3a-1=3b-1$","若$a=b$,则$a c^{2}=b c^{2}$","若$\frac{a}{c^{2}}=\frac{b}{c^{2}}$,则$a =b $","若$a c^{2}=b c^{2}$,则$a=b$",D,
4,“垃圾分类”已经在全国开展得如火如荼，某回收公司有四包可回收垃圾，每包以标准克数（ 千克）为基准，超过的千克数记作正数，不足的千克数记作负数，以下数据是记录结果，其中表示实际重量最接近标准千克数的是 ____,-1,2,-0.5,0,D,
