id,question,A,B,C,D,answer,explanation
0,物质的俗名与化学式相对应正确的是____,生石灰：$CaCO_3$,熟石灰：$Ca（OH）_2$,烧碱：$Na_2CO_3$,纯碱：$NaOH$,B,"1. 生石灰是$CaO$的俗名、熟石灰是$Ca(OH)_2$的俗名、烧碱是$NaOH$的俗名、纯碱是$Na_2CO_3$的俗名。
2. 对照选项和俗名对应的化学式，可知选项B是正确的。"
1,下列现象，用分子的相关知识解释不正确的是____,石油气经加压后贮存在钢罐中，说明分子间有间隔,水汽化后，水蒸气体积变大，说明分子的大小发生了改变,湿衣服晾在太阳底下干得快，说明分子运动速率与温度有关,水在通电情况下分解成氢气和氧气，说明分子在化学变化中可分,B,"1. 分析选项：气体分子之间的距离相对较大，加压后间隔会变小，(A)选项正确。
2. 水分子在液态和气态下大小是相同的，水蒸气体积变大是因为分子间的相互作用力减弱，分子之间的距离增大，(B)选项错误。
3. 温度升高会增加分子的平均动能，从而加快了水分子的蒸发速度，(C)选项正确。
4. 在电解水反应中，分子发生化学键的断裂和形成，从而产生新的分子，(D)选项正确。"
2,取一定量的氧化铁与氧化铜的混合物，加入溶质质量分数为9.8%的稀硫酸100g，恰好完全反应生成盐和水.原混合物中氧元素的质量是____,6.4g,3.2g,1.8g,1.6g,D,"1. 首先，我们需要知道氧化铁和氧化铜与稀硫酸反应的化学方程式：$Fe_2O_3 + 3H_2SO_4 → Fe_2(SO_4)_3 + 3H_2O$；$CuO + H_2SO_4 → CuSO_4 + H_2O$。根据题目描述，这两个反应都发生了，且完全反应。
2. 其次，分析化学方程式可知氧化物中氧元素全部转变为水中的氧元素。
3. 接着，我们需要计算生成的水的质量。设生成水的质量是x g：由方程式可以看出硫酸与生成水的关系为$\frac{98}{100 \times 8\%}=\frac{18}{x}$,解得x=1.8 g,所以水中氧元素的质量为：$1.8 g \times \frac{16}{18}=1.6 g$。"
3,百合具有润肺止咳、养颜美容等功效，百合中含有秋水仙碱，其化学式为$C_{22}H_{25}NO_6$，下列说法中正确的是____,秋水仙碱由碳、氢、氧三种元素组成,一个秋水仙碱分子由22个碳原子、25个氢原子、1个氮原子和3个氧分子构成,秋水仙碱分子中碳、氢、氮、氧原子个数比为22：25：1：6,秋水仙碱中氢元素的质量分数最大,C,"1. 首先，我们需要了解秋水仙碱的化学式$C_{22}H_{25}NO_6$，其中$C$表示碳，$H$表示氢，$N$表示氮，$O$表示氧。
2. 其次，我们需要根据化学式计算出秋水仙碱分子中各元素的质量比。根据化学式，碳元素的质量为：12×22=264；氢元素的质量为1×25=25；氮元素的质量为14；氧元素的质量为16×6=96。
3. 然后，我们需要判断哪个选项正确。选项A中只提到了碳、氢、氧三种元素，没有提到氮元素；选项B中的氧原子个数不正确；选项C中的原子个数比与实际比例一致；选项D中认为氢元素的质量分数最大，但实际上是碳元素最大。"
4,下列有关实验现象的描述正确的是____,硫在氧气中燃烧发出淡蓝色火焰,无色酚酞试液遇稀盐酸变成红色,硫酸铜溶液和氢氧化钠溶液反应会产生蓝色沉淀,红磷在空气中燃烧产生白雾,C,1. 分析选项：(A) 硫在氧气中燃烧发出的火焰是蓝紫色的，”淡蓝色火焰“错误。(B) 稀盐酸显酸性，遇无色酚酞溶液不变色，”变成红色“错误；(C) 硫酸铜溶液和氢氧化钠溶液反应会产生蓝色沉淀是正确的，产生的蓝色沉淀是氢氧化铜；(D) 红磷在空气中燃烧产生大量白烟，”白雾“错误。
0,物质的性质决定物质的用途，下列物质的用途与化学性质相关的是____,铜丝用作导线,金刚石用于切割玻璃,干冰用于人工降雨,熟石灰用于改良酸性土壤,D,
1,化学与生产、生活密切相关，下列说法错误的是____,人体缺碘会引起贫血,碳酸氢铵（$NH_4HCO_3$）是一种氮肥,炒菜时油锅着火，用锅盖盖灭,铁制品表面刷漆可防止生锈,A,
2,空气是人类生存所必需的重要资源，空气中最多的气体是____,$\text{N}_2$,$\text{O}_2$,$\text{CO}_2$,$\text{H}_2 \text{O}$,A,
3,推理是学习化学的重要方法之一，但盲目地类摧又可能得出错误结论。下列类推正确的是____,硫和氧气的反应既是氧化反应也是化合反应，则物质和氧气的反应均是化合反应,一般情况下，合金的熔点和硬度都比组成合金的纯金属的高,碱的溶液能使酚酞溶液变红，但能使酚酞溶液变红的溶液不一定是碱的溶液,锌能与稀硫酸反应放出氢气，则铜也能与稀硫酸反应放出氢气,C,
4,2022年2月4日，北京冬奥会火炬首次采用“绿氢”作为火炬燃料，其储存采用了高压储气的方式。下列关于该储气过程的说法正确的是____,氢分子的体积变小,氢分子的质量变小,氢分子的数目变少,氢分子间的间隔变小,D,
5,化学与环境保护、人体键康息息相关。下列叙述错误的是____,天然气是比较清洁的化石燃料,研发高效低毒农药有助于保障粮食安全,生活污水集中处理达标后排放,蒸煮能完全清除霉变食物中的有害物质,D,
6,2022年6月5日是第51个世界环境日，中国主题为“共建清洁美丽世界”，下列措施与该主题不相符的是____,绿色出行，积极践行“低碳生活”,用布袋代替塑料袋，减少“白色污染”,植树造林，努力营造“绿水青山”,大量开采利用化石燃料，缓解“能源危机”,D,
7,下列成语中不涉及化学变化的是____,星火燎原,披荆斩棘,死灰复燃,百炼成钢,B,
8,逻辑推理是学习化学常用的思维方法，下列推理正确的是____,物质燃烧都能放热，能放热的化学反应都是燃烧,有机化合物都含有碳元素，则含有碳元素的化合物都是有机物,碱性溶液可以使石蕊溶液变蓝，则能使石蕊溶液变蓝的溶液都显碱性,中和反应生成盐和水，则生成盐和水的反应都是中和反应,C,
9,$Na_2CO_3$俗称纯碱，侯德榜为纯碱工业的发展做出了杰出贡献。$Na_2CO_3$属于____,氧化物,盐,有机物,混合物,B,
10,下列有关溶液的说法正确的是____,均一、稳定的液体一定是溶液,洗涤剂能洗去衣服上的油污，原因是洗涤剂具有溶解作用,溶液中的溶质可以是固体、液体或气体,实验室利用氯化钠固体和水配制50g质量分数为6%的氯化钠溶液的步骤是：计算、量取、溶解、贮存,C,
11,将100mL水与100mL酒精混合，所得溶液体积小于200mL。下列对此现象的解释最合理的是____,分子是由原子构成的,分子的质量和体积都是很小的,分子是不断运动的,分子间是有间隔的,D,
12,某同学用pH计测得生活中一些物质的pH值如下、其中酸性最强的是____,肥皂水pH：10.2,料酒pH：6.5,西瓜汁pH：5.8,苹果汁pH：2.4,D,
13,为了探究某稀盐酸中溶质的质量分数，甲、乙两同学分别取溶质质量分数相等的稀盐酸100g，甲同学向其中加入氧化铜8g，反应结束后观察到固体全部消失；乙同学向其中加入氧化铜16g，反应结束后观察到固体有剩余。下列有关实验的推断正确的是____,反应后乙同学所得溶液中一定包含盐酸,反应后向甲同学所得的溶液中滴加少量氢氧化钠溶液，一定会有蓝色沉淀生成,反应后甲、乙两同学所得的溶液中溶质的质量分数可能相等,原稀盐酸中溶质的质量分数一定大于7.3%小于14.6%,C,
14,垃圾分类已成为新时尚。下列物质应该放入可回收垃圾箱的是____,矿泉水瓶,果皮,废电池,废口罩,A,
15,疫情期间，教室喷洒“84消毒液”进行消毒时，可闻到刺鼻的气味，说明了____,分子数目变大,分子之间有间隔,分子在不断运动,反应生成新物质,C,
16,下列化学用语既能表示一种元素，又能表示一个原子，还能表示一种物质的是____,O,Cu,N,$CO_2$,B,
17,下列说法不正确的是____,炒菜时油锅中的油不慎着火，可用锅盖盖灭,室内着火，应立即打开门窗，让风吹灭火焰,亚硝酸钠是一种工业用盐，对人体有害，不能用于烹调,家用煤气中掺入微量难闻性气体，利于发现煤气泄漏,B,
18,治疗胃酸过多药物铝碳酸镁片[主要成分$Al_2Mg_6(OH)_{16}CO_3·4H_2O$]不能长期服用，是因为其中含有人体非必需元素____,Mg,Hg,C,Al,D,
19,下列现象的微观解释中，不正确的是____,食物腐败----分子性质发生变化,热胀冷缩----分子大小随温度变化而变化,夏天炎热，自行车易爆胎-----温度升高，分子间的间隔变大,缉毒犬可以嗅出毒品藏匿处----分子不停地运动,B,
0,垃圾分类投放已成为新时尚。下列四种生活垃圾不能投放到可回收垃圾桶内的是____,玻璃啤酒瓶,废弃水果皮,塑料饮料瓶,废旧报纸,B,
1,嫦娥五号执行的下列探月任务一定涉及化学变化的是____,漫步月面,采集月壤,展示国旗,点火返航,D,
2,下列有关氧气的说法中，正确的是____,鱼类能在水中生存，说明氧气易溶于水,焊接或切割金属时使用空气而不是纯氧以获得更高的温度,植物的光合作用是减少空气中二氧化碳气体含量的唯一方法,研究表明纯氧会使人中毒，所以医疗急救中使用的氧气不是纯氧,D,
3,二百多年前，利用定量的方法研究了空气成分的法国化学家是____,侯德榜,屠呦呦,门捷列夫,拉瓦锡,D,
4,物质分类是学习化学的基础，下列物质中属于氧化物的是____,氧气,氧化汞,高锰酸钾,氯化钠溶液,B,
5,下列过程中发生了化学变化的是____,光合作用,酒精挥发,摩擦生热,湿衣晾干,A,
6,下列有关实验现象的描述正确的是 ____,红磷在氧气中燃烧产生大量的白烟,向稀盐酸中滴加适量紫色的石蕊试液，溶液的颜色由无色变成蓝色,硫在空气中燃烧产生明亮的蓝紫色火焰,打开盛有浓硫酸的试剂瓶瓶盖，瓶口上方出现大量白雾,A,
7,世卫组织(WHO)发表声明称，地塞米松($C_{22}H_{29}FO_3$)可挽救新冠肺炎重症患者生命。下列关于地塞米松的说法正确的是____,地塞米松属于氧化物,地塞米松由 4 种元素组成,地塞米松中碳、氧元素的质量比为 22：3,地塞米松中氢元素的质量分数最大,B,
8,下列变化属于化学变化的是____,石蜡熔化,谷物酿酒,蔗糖溶解,酒精挥发,B,
9,下列有关说法正确的是____,高钙豆奶粉中的“钙”指的是单质,化学反应伴随着能量变化，燃料燃烧时一定放出热量,洗涤剂能洗掉餐具上的油污，因为洗涤剂能溶解油污形成溶液,金刚石、石墨和$\text{C}_60$都是由碳原子构成的单质，它们的结构不同但性质相同,B,
10,下列关于氧气的说法中，不正确的是____,液氧用于火箭发射是利用氧气的可燃性,氧气不易溶于水,实验室可用加热高锰酸钾的方法制取氧气,氧气可用于医疗急救,A,
11,江西物产丰富。下列食品中最适宜在出现头晕等低血糖症状时食用的是____,南昌瓦罐汤,安福火腿,丰城冻米糖,临川菜梗,C,
12,下列各组离子在pH大于7的溶液中，能大量共存的是____,$H^{+}$、$\text{Ba}^{2+}$、$\text{NO}_3^-$、$\text{CO}_3^{2-}$,$\text{Mg}^{2+}$、$K^{+}$、$\text{NO}_3^-$、$Cl^{-}$,$Na^{+}$、$\text{Ba}^{2+}$、$\text{HCO}_3^{-}$、$\text{SO}_4^{2-}$,$Na^{+}$、$\text{Ba}^{2+}$、$OH^{-}$、$Cl^{-}$,D,
13,在推断实验室无色废液的成分时，四位同学得出了四种结论，其中可能合理的是____,NaCl、$\text{Cu}\text{SO}_4$、$\text{Na}\text{NO}_3$,NaCl、$\text{K}_2 \text{SO}_4$、NaOH,HCl、NaOH、$\text{Ca}\text{Cl}_2$,$\text{K}_2 \text{CO}_3$、$\text{K}\text{NO}_3$、$\text{Ba}\text{Cl}_2$,B,
14,把金属X放入$\text{Cu}(\text{NO}_3)_2$溶液中，X表面有红色固体析出；若放入$\text{Mg}(\text{NO}_3)_2$溶液中，无明显现象。则X、Cu、Mg三种金属活动性由强到弱的顺序正确的是 ____,Mg、X、Cu,X、Mg、Cu,Mg、Cu、X,Cu、X、Mg,A,
15,下列关于浓盐酸的说法错误的是____,易挥发,有腐蚀性,有较强吸水性,密度比水大,C,
16,某实验需要12.6g食盐，小华称量后发现指针向右偏转，他应进行的操作是____,向左调节平衡螺母,向左调节游码,添加适量食盐,去除适量食盐,C,
17,2022年“世界环境日“的主题是“共建清洁美丽世界”，下列做法对人类的生存环境会遭成危害的是____,不随意丢弃旧电池,工业废水处理达标后再排放,加大使用农药和化肥，提高农业产量,大力植树造林，严禁乱砍滥伐森林S,C,
18,把相同质量、相同溶质质量分数的稀盐酸分别加入盛有X、Y、Z三种金属的试管中，只有Z始终无明显变化们X、Y表面都有气泡产生，但是Y产生气泡的速度明显比X的快。这三种金属的活动性顺序是____,X>Y>Z,X>Z>Y,Z>Y>X,Y>X>Z,D,
19,化学与生产生活密切相连?下列说法正确的是____,室内着火，应立即打开门窗，让风吹灭火焰,铵态氮肥与熟石灰混合使用可以提高肥效,使用新型可降解塑料，可减少白色污染,$H_2$是一种清洁高效的燃料，点燃时无需验纯,C,
20,一些饮品的 pH 范围如下，其中呈碱性的是____,柠檬汁（2.0~3.0）,咖啡（4.5~5.5）,西瓜汁（5.2~6.2）,苏打水（7.7~9.0）,D,
